global_step,epoch,step,phase,loss_ce,loss_tok,loss_phr,loss_cfg,loss_total,reward_phr,reward_cfg,lam_ce,lam_tok,lam_phr,lam_cfg,lr,grad_norm
10,1,9,Phase-1:CE,2.593157,0.0,0.0,0.0,2.593157,0.0,0.0,1.0,0.5,0.5,0.2,2.7e-07,59.0
20,1,19,Phase-1:CE,2.256866,0.0,0.0,0.0,2.256866,0.0,0.0,1.0,0.5,0.5,0.2,5.5e-07,46.0
30,1,29,Phase-1:CE,3.126372,0.0,0.0,0.0,3.126372,0.0,0.0,1.0,0.5,0.5,0.2,8.2e-07,75.5
40,1,39,Phase-1:CE,1.934633,0.0,0.0,0.0,1.934633,0.0,0.0,1.0,0.5,0.5,0.2,1.09e-06,59.75
50,1,49,Phase-1:CE,1.881433,0.0,0.0,0.0,1.881433,0.0,0.0,1.0,0.5,0.5,0.2,1.36e-06,52.25
60,1,59,Phase-1:CE,1.888428,0.0,0.0,0.0,1.888428,0.0,0.0,1.0,0.5,0.5,0.2,1.64e-06,51.25
70,1,69,Phase-1:CE,2.053428,0.0,0.0,0.0,2.053428,0.0,0.0,1.0,0.5,0.5,0.2,1.91e-06,47.0
80,1,79,Phase-1:CE,1.617078,0.0,0.0,0.0,1.617078,0.0,0.0,1.0,0.5,0.5,0.2,2.18e-06,49.75
90,1,89,Phase-1:CE,1.590105,0.0,0.0,0.0,1.590105,0.0,0.0,1.0,0.5,0.5,0.2,2.46e-06,40.0
100,1,99,Phase-1:CE,1.271809,0.0,0.0,0.0,1.271809,0.0,0.0,1.0,0.5,0.5,0.2,2.73e-06,45.5
110,1,109,Phase-1:CE,0.874635,0.0,0.0,0.0,0.874635,0.0,0.0,1.0,0.5,0.5,0.2,3e-06,33.25
120,1,119,Phase-1:CE,1.08142,0.0,0.0,0.0,1.08142,0.0,0.0,1.0,0.5,0.5,0.2,3.27e-06,38.5
130,1,129,Phase-1:CE,1.592852,0.0,0.0,0.0,1.592852,0.0,0.0,1.0,0.5,0.5,0.2,3.55e-06,36.25
140,1,139,Phase-1:CE,1.457397,0.0,0.0,0.0,1.457397,0.0,0.0,1.0,0.5,0.5,0.2,3.82e-06,51.75
150,1,149,Phase-1:CE,1.199613,0.0,0.0,0.0,1.199613,0.0,0.0,1.0,0.5,0.5,0.2,4.09e-06,42.25
160,1,159,Phase-1:CE,1.638781,0.0,0.0,0.0,1.638781,0.0,0.0,1.0,0.5,0.5,0.2,4.37e-06,48.75
170,1,169,Phase-1:CE,0.993273,0.0,0.0,0.0,0.993273,0.0,0.0,1.0,0.5,0.5,0.2,4.64e-06,29.0
180,1,179,Phase-1:CE,1.243898,0.0,0.0,0.0,1.243898,0.0,0.0,1.0,0.5,0.5,0.2,4.91e-06,72.5
190,1,189,Phase-1:CE,1.379055,0.0,0.0,0.0,1.379055,0.0,0.0,1.0,0.5,0.5,0.2,5.18e-06,32.25
200,1,199,Phase-1:CE,1.080858,0.0,0.0,0.0,1.080858,0.0,0.0,1.0,0.5,0.5,0.2,5.46e-06,43.0
210,1,209,Phase-1:CE,1.743408,0.0,0.0,0.0,1.743408,0.0,0.0,1.0,0.5,0.5,0.2,5.73e-06,57.25
220,1,219,Phase-1:CE,1.363557,0.0,0.0,0.0,1.363557,0.0,0.0,1.0,0.5,0.5,0.2,6e-06,47.25
230,1,229,Phase-1:CE,1.762526,0.0,0.0,0.0,1.762526,0.0,0.0,1.0,0.5,0.5,0.2,6.28e-06,32.25
240,1,239,Phase-1:CE,1.02655,0.0,0.0,0.0,1.02655,0.0,0.0,1.0,0.5,0.5,0.2,6.55e-06,35.75
250,1,249,Phase-1:CE,0.968478,0.0,0.0,0.0,0.968478,0.0,0.0,1.0,0.5,0.5,0.2,6.82e-06,60.75
260,1,259,Phase-1:CE,0.998758,0.0,0.0,0.0,0.998758,0.0,0.0,1.0,0.5,0.5,0.2,7.09e-06,29.125
270,1,269,Phase-1:CE,0.861353,0.0,0.0,0.0,0.861353,0.0,0.0,1.0,0.5,0.5,0.2,7.37e-06,21.375
280,1,279,Phase-1:CE,0.9536,0.0,0.0,0.0,0.9536,0.0,0.0,1.0,0.5,0.5,0.2,7.64e-06,24.125
290,1,289,Phase-1:CE,1.086266,0.0,0.0,0.0,1.086266,0.0,0.0,1.0,0.5,0.5,0.2,7.91e-06,31.125
300,1,299,Phase-1:CE,0.911471,0.0,0.0,0.0,0.911471,0.0,0.0,1.0,0.5,0.5,0.2,8.19e-06,27.625
310,1,309,Phase-1:CE,1.376358,0.0,0.0,0.0,1.376358,0.0,0.0,1.0,0.5,0.5,0.2,8.46e-06,50.25
320,1,319,Phase-1:CE,1.120004,0.0,0.0,0.0,1.120004,0.0,0.0,1.0,0.5,0.5,0.2,8.73e-06,40.25
330,1,329,Phase-1:CE,1.29471,0.0,0.0,0.0,1.29471,0.0,0.0,1.0,0.5,0.5,0.2,9e-06,32.5
340,1,339,Phase-1:CE,1.219143,0.0,0.0,0.0,1.219143,0.0,0.0,1.0,0.5,0.5,0.2,9.28e-06,24.125
350,1,349,Phase-1:CE,0.924231,0.0,0.0,0.0,0.924231,0.0,0.0,1.0,0.5,0.5,0.2,9.55e-06,26.125
360,1,359,Phase-1:CE,0.800501,0.0,0.0,0.0,0.800501,0.0,0.0,1.0,0.5,0.5,0.2,9.82e-06,33.5
370,1,369,Phase-1:CE,0.874133,0.0,0.0,0.0,0.874133,0.0,0.0,1.0,0.5,0.5,0.2,1.01e-05,24.25
380,1,379,Phase-1:CE,1.347468,0.0,0.0,0.0,1.347468,0.0,0.0,1.0,0.5,0.5,0.2,1.037e-05,37.0
390,1,389,Phase-1:CE,1.228976,0.0,0.0,0.0,1.228976,0.0,0.0,1.0,0.5,0.5,0.2,1.064e-05,29.25
400,1,399,Phase-1:CE,1.127043,0.0,0.0,0.0,1.127043,0.0,0.0,1.0,0.5,0.5,0.2,1.091e-05,21.5
410,1,409,Phase-1:CE,1.006865,0.0,0.0,0.0,1.006865,0.0,0.0,1.0,0.5,0.5,0.2,1.119e-05,23.375
420,1,419,Phase-1:CE,0.989996,0.0,0.0,0.0,0.989996,0.0,0.0,1.0,0.5,0.5,0.2,1.146e-05,22.5
430,1,429,Phase-1:CE,1.03637,0.0,0.0,0.0,1.03637,0.0,0.0,1.0,0.5,0.5,0.2,1.173e-05,23.5
440,1,439,Phase-1:CE,0.970852,0.0,0.0,0.0,0.970852,0.0,0.0,1.0,0.5,0.5,0.2,1.201e-05,28.375
450,1,449,Phase-1:CE,0.701777,0.0,0.0,0.0,0.701777,0.0,0.0,1.0,0.5,0.5,0.2,1.228e-05,19.75
460,1,459,Phase-1:CE,1.184723,0.0,0.0,0.0,1.184723,0.0,0.0,1.0,0.5,0.5,0.2,1.255e-05,29.75
470,1,469,Phase-1:CE,1.409867,0.0,0.0,0.0,1.409867,0.0,0.0,1.0,0.5,0.5,0.2,1.282e-05,24.0
480,1,479,Phase-1:CE,1.705219,0.0,0.0,0.0,1.705219,0.0,0.0,1.0,0.5,0.5,0.2,1.31e-05,32.5
490,1,489,Phase-1:CE,1.297214,0.0,0.0,0.0,1.297214,0.0,0.0,1.0,0.5,0.5,0.2,1.337e-05,26.625
500,1,499,Phase-1:CE,1.020295,0.0,0.0,0.0,1.020295,0.0,0.0,1.0,0.5,0.5,0.2,1.364e-05,24.875
510,1,509,Phase-1:CE,0.81846,0.0,0.0,0.0,0.81846,0.0,0.0,1.0,0.5,0.5,0.2,1.392e-05,26.25
520,1,519,Phase-1:CE,0.867215,0.0,0.0,0.0,0.867215,0.0,0.0,1.0,0.5,0.5,0.2,1.419e-05,18.625
530,1,529,Phase-1:CE,1.067242,0.0,0.0,0.0,1.067242,0.0,0.0,1.0,0.5,0.5,0.2,1.446e-05,18.125
540,1,539,Phase-1:CE,1.122292,0.0,0.0,0.0,1.122292,0.0,0.0,1.0,0.5,0.5,0.2,1.473e-05,17.125
550,1,549,Phase-1:CE,0.813955,0.0,0.0,0.0,0.813955,0.0,0.0,1.0,0.5,0.5,0.2,1.501e-05,18.625
560,1,559,Phase-1:CE,1.060877,0.0,0.0,0.0,1.060877,0.0,0.0,1.0,0.5,0.5,0.2,1.528e-05,20.5
570,1,569,Phase-1:CE,1.073797,0.0,0.0,0.0,1.073797,0.0,0.0,1.0,0.5,0.5,0.2,1.555e-05,20.625
580,1,579,Phase-1:CE,1.045825,0.0,0.0,0.0,1.045825,0.0,0.0,1.0,0.5,0.5,0.2,1.583e-05,20.5
590,1,589,Phase-1:CE,1.367307,0.0,0.0,0.0,1.367307,0.0,0.0,1.0,0.5,0.5,0.2,1.61e-05,18.375
600,1,599,Phase-1:CE,0.842707,0.0,0.0,0.0,0.842707,0.0,0.0,1.0,0.5,0.5,0.2,1.637e-05,17.125
610,1,609,Phase-1:CE,0.967529,0.0,0.0,0.0,0.967529,0.0,0.0,1.0,0.5,0.5,0.2,1.664e-05,16.125
620,1,619,Phase-1:CE,1.313181,0.0,0.0,0.0,1.313181,0.0,0.0,1.0,0.5,0.5,0.2,1.692e-05,23.625
630,1,629,Phase-1:CE,0.911543,0.0,0.0,0.0,0.911543,0.0,0.0,1.0,0.5,0.5,0.2,1.719e-05,16.0
640,1,639,Phase-1:CE,1.331449,0.0,0.0,0.0,1.331449,0.0,0.0,1.0,0.5,0.5,0.2,1.746e-05,21.75
650,1,649,Phase-1:CE,0.95927,0.0,0.0,0.0,0.95927,0.0,0.0,1.0,0.5,0.5,0.2,1.774e-05,13.75
660,1,659,Phase-1:CE,1.553346,0.0,0.0,0.0,1.553346,0.0,0.0,1.0,0.5,0.5,0.2,1.801e-05,19.75
670,1,669,Phase-1:CE,0.969629,0.0,0.0,0.0,0.969629,0.0,0.0,1.0,0.5,0.5,0.2,1.828e-05,18.125
680,1,679,Phase-1:CE,1.006196,0.0,0.0,0.0,1.006196,0.0,0.0,1.0,0.5,0.5,0.2,1.855e-05,13.875
690,1,689,Phase-1:CE,1.125348,0.0,0.0,0.0,1.125348,0.0,0.0,1.0,0.5,0.5,0.2,1.883e-05,25.125
700,1,699,Phase-1:CE,1.274319,0.0,0.0,0.0,1.274319,0.0,0.0,1.0,0.5,0.5,0.2,1.91e-05,18.125
710,1,709,Phase-1:CE,1.061938,0.0,0.0,0.0,1.061938,0.0,0.0,1.0,0.5,0.5,0.2,1.937e-05,12.8125
720,1,719,Phase-1:CE,0.864072,0.0,0.0,0.0,0.864072,0.0,0.0,1.0,0.5,0.5,0.2,1.965e-05,13.4375
730,1,729,Phase-1:CE,0.721627,0.0,0.0,0.0,0.721627,0.0,0.0,1.0,0.5,0.5,0.2,1.992e-05,13.8125
740,1,739,Phase-1:CE,1.194898,0.0,0.0,0.0,1.194898,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,17.5
750,1,749,Phase-1:CE,0.483088,0.0,0.0,0.0,0.483088,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,12.75
760,1,759,Phase-1:CE,0.602993,0.0,0.0,0.0,0.602993,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,15.5
770,1,769,Phase-1:CE,0.843518,0.0,0.0,0.0,0.843518,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,16.125
780,1,779,Phase-1:CE,1.337912,0.0,0.0,0.0,1.337912,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,19.125
790,1,789,Phase-1:CE,1.192197,0.0,0.0,0.0,1.192197,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,13.9375
800,1,799,Phase-1:CE,1.235406,0.0,0.0,0.0,1.235406,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,18.5
810,1,809,Phase-1:CE,0.904138,0.0,0.0,0.0,0.904138,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,17.0
820,1,819,Phase-1:CE,1.372278,0.0,0.0,0.0,1.372278,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,19.5
830,1,829,Phase-1:CE,1.252246,0.0,0.0,0.0,1.252246,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,22.625
840,1,839,Phase-1:CE,0.697479,0.0,0.0,0.0,0.697479,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,11.1875
850,1,849,Phase-1:CE,1.068295,0.0,0.0,0.0,1.068295,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,17.75
860,1,859,Phase-1:CE,1.172545,0.0,0.0,0.0,1.172545,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,16.25
870,1,869,Phase-1:CE,0.819881,0.0,0.0,0.0,0.819881,0.0,0.0,1.0,0.5,0.5,0.2,2e-05,14.9375
880,1,879,Phase-1:CE,0.886549,0.0,0.0,0.0,0.886549,0.0,0.0,1.0,0.5,0.5,0.2,1.999e-05,17.625
890,1,889,Phase-1:CE,1.472825,0.0,0.0,0.0,1.472825,0.0,0.0,1.0,0.5,0.5,0.2,1.999e-05,18.0
900,1,899,Phase-1:CE,0.75933,0.0,0.0,0.0,0.75933,0.0,0.0,1.0,0.5,0.5,0.2,1.999e-05,10.5
910,1,909,Phase-1:CE,1.235541,0.0,0.0,0.0,1.235541,0.0,0.0,1.0,0.5,0.5,0.2,1.999e-05,13.5
920,1,919,Phase-1:CE,0.84098,0.0,0.0,0.0,0.84098,0.0,0.0,1.0,0.5,0.5,0.2,1.999e-05,12.4375
